#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1000	-108418.6471111651	304.84694825625746	0
0.0%	2000	-107804.8757481568	304.2639700395229	604
0.0%	3000	-107725.56966525549	293.79941717597234	604
0.0%	4000	-107767.90659255767	299.39782460447816	610
0.0%	5000	-108288.21531743882	304.1270635625745	613
0.0%	6000	-107999.04738912685	307.54393837392143	612
0.0%	7000	-107908.97716700402	299.4208911816502	612
0.0%	8000	-107961.57434454933	296.4343010405877	612
0.0%	9000	-108034.2630267567	306.66443380576493	612
0.0%	10000	-108155.71416245168	295.370818918375	613
0.0%	11000	-107640.63255576254	297.0783603485323	613
0.0%	12000	-108301.69831289304	301.0082189093708	614
0.0%	13000	-107859.58119379776	297.173981933732	613
0.0%	14000	-107825.62191190384	294.5244860278657	613
0.0%	15000	-107874.1403808631	299.8773907004267	613
0.0%	16000	-107998.6987347873	301.69781792516994	613
0.0%	17000	-108039.67030521017	299.64614002096425	613
0.0%	18000	-108407.26596328476	298.4399749278453	612
0.0%	19000	-108247.38235708838	299.1390811870352	613
0.0%	20000	-108168.17752666981	295.9302794239424	613
0.0%	21000	-108304.57051124936	300.85856022584375	613
0.0%	22000	-107784.16845331294	300.6385753640165	613
0.0%	23000	-107966.81817955594	301.46957490506446	612
0.0%	24000	-107865.50852507236	309.9624099542729	612
0.0%	25000	-107926.48136430187	298.95591727422726	612
0.0%	26000	-108237.39808354783	298.84065260608924	612
0.0%	27000	-108043.1896423446	305.64081705437553	611
0.0%	28000	-107904.57675709226	304.69373001929847	611
0.0%	29000	-108013.09751860169	300.71213236349905	611
0.0%	30000	-107884.6274053827	296.2178290640646	611
0.0%	31000	-107942.75203351979	300.57666029146606	611
0.0%	32000	-108082.34329613508	303.9133729348353	611
0.0%	33000	-107254.40128173749	303.3191213521423	611
0.0%	34000	-107917.56615354726	303.98652426597323	611
0.0%	35000	-108214.54778459738	299.81761517306387	610
0.0%	36000	-107789.44666328072	294.851825660943	610
0.0%	37000	-107971.82794001163	299.2945153672843	610
0.0%	38000	-107942.49245718285	300.1354022727903	610
0.0%	39000	-108018.971835742	295.9784231462773	609
0.0%	40000	-107372.19240404014	306.8101884160999	609
0.0%	41000	-107686.03779599	308.50966666972386	609
0.0%	42000	-107607.00823527342	299.888906477487	608
0.0%	43000	-107552.11274030316	302.8118944410819	608
0.0%	44000	-107579.18433507346	308.5543237249825	608
0.0%	45000	-107842.5026882242	296.40829945333945	608
0.0%	46000	-107890.31946382485	303.0385754893307	608
0.0%	47000	-107839.65810282854	302.0353223837317	608
0.0%	48000	-107989.67763771839	299.9778233044512	608
0.0%	49000	-108114.73163497471	305.4607155072725	608
0.0%	50000	-108067.42823983612	300.0854571436823	608
0.0%	51000	-107776.25349065196	302.48558852867626	608
0.0%	52000	-108401.71944472985	298.1262007107085	608
0.0%	53000	-108234.96221867297	295.50551279413617	608
0.0%	54000	-108117.79666916281	292.6862022807726	608
0.0%	55000	-108649.04389640596	298.5948189852025	608
0.0%	56000	-108198.39740407607	303.350898845122	608
0.0%	57000	-108260.63596962788	298.20821517204496	608
0.0%	58000	-107966.23977009486	301.75346234659645	608
0.0%	59000	-107785.3990670999	298.6222066689865	607
0.0%	60000	-108156.03294713912	297.47040402413455	607
