#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1000	-107960.52501102723	302.94778396213525	0
0.0%	2000	-108398.52004109067	305.9494807771391	594
0.0%	3000	-107960.43941294844	295.31509058296047	594
0.0%	4000	-107872.35104808165	296.4075559189697	590
0.0%	5000	-108209.83895392227	303.62863317611726	592
0.0%	6000	-107799.61351777404	297.32222513317873	592
0.0%	7000	-108034.32193100569	302.98805417744956	591
0.0%	8000	-107794.00107655092	300.2098574764165	592
0.0%	9000	-107576.38688750844	305.6496839595382	593
0.0%	10000	-108212.64887962607	300.4804340317424	593
0.0%	11000	-108232.41156730009	300.20838226309183	593
0.0%	12000	-108354.3884545581	302.2508170050758	594
0.0%	13000	-108300.35148763168	298.831961344221	595
0.0%	14000	-108256.17695135274	298.4593978666177	594
0.0%	15000	-108171.34995553945	297.4571942639266	594
0.0%	16000	-108059.22446672828	297.9239245318814	594
0.0%	17000	-108241.17922948836	298.4600928417157	594
0.0%	18000	-107922.54843665822	306.84562116856625	594
0.0%	19000	-107924.33829249162	295.72565968772125	594
0.0%	20000	-107812.26064741984	296.9198728299773	594
0.0%	21000	-108369.38816611352	298.1923518865445	593
0.0%	22000	-108259.57854537666	298.7122975498911	594
0.0%	23000	-108091.05305291503	303.47359578433617	594
0.0%	24000	-107688.22171460604	298.9137156464711	593
0.0%	25000	-108349.95692467317	297.9081316831168	594
0.0%	26000	-108149.80338760605	296.00309456838977	593
0.0%	27000	-108086.44585609855	297.80340331625496	592
0.0%	28000	-108135.84448059555	304.00905367932705	592
0.0%	29000	-107711.32495979965	308.4720669787866	592
0.0%	30000	-107892.27725855517	297.1636887672343	592
0.0%	31000	-107908.15754375001	300.74095914451755	592
0.0%	32000	-109170.60038184724	303.5419970817271	592
0.0%	33000	-108536.26811893354	300.5733008555887	592
0.0%	34000	-108033.6992661606	304.7418419156008	592
0.0%	35000	-107686.09665678628	298.77713468303375	592
0.0%	36000	-107883.14240426454	298.6690490094184	592
0.0%	37000	-107907.07066945452	300.9913932487111	592
0.0%	38000	-107256.75901112566	301.8245800347705	592
0.0%	39000	-107980.09913240303	308.218719995142	592
0.0%	40000	-108017.92077474087	301.7905341899933	592
0.0%	41000	-107893.64683870878	308.84706285952217	592
0.0%	42000	-107550.10038195457	297.8231236992677	592
0.0%	43000	-107720.99649645924	299.48622001727205	592
0.0%	44000	-107726.42523713992	301.5501972789786	592
0.0%	45000	-107292.61884047044	299.97400208341094	592
0.0%	46000	-108047.37901818287	298.7533616758451	592
0.0%	47000	-108230.85051742243	302.27432453885905	592
0.0%	48000	-107472.62790790177	297.69404800702415	592
0.0%	49000	-108021.696746181	298.737092300162	592
0.0%	50000	-107731.42142510368	298.5171478724311	592
0.0%	51000	-108149.52281559748	299.7605406091415	592
0.0%	52000	-107978.27334921737	300.8878394994998	592
0.0%	53000	-107854.1195862873	295.98528749940346	592
0.0%	54000	-107734.32411111449	294.47323806799835	592
0.0%	55000	-107884.91589627345	296.512365359195	592
0.0%	56000	-107652.43034224329	299.9584985594699	592
0.0%	57000	-107604.47273545736	299.8751865637056	592
0.0%	58000	-108342.60696923034	304.4171132331556	592
0.0%	59000	-108395.82276877598	299.6708492983379	591
0.0%	60000	-107820.30289371661	298.5610643742291	591
0.0%	61000	-107940.84765393264	302.3250831893936	591
0.0%	62000	-107990.51107472437	302.3752431759908	591
0.0%	63000	-108273.68031258439	302.71690114447983	591
0.0%	64000	-108231.18468841887	296.48705745392556	591
0.0%	65000	-107624.12086446397	301.65354734339894	591
0.0%	66000	-107952.24456014019	295.13028317780834	591
0.0%	67000	-107955.05723002017	304.81046638528665	591
0.0%	68000	-107631.05197785096	294.849822222034	591
0.0%	69000	-107719.04797544517	303.3141540641602	591
0.0%	70000	-107029.64700095798	301.7819528526633	591
0.0%	71000	-107592.09276025207	301.4251040058154	591
0.0%	72000	-107272.33190735383	301.2106272099369	591
0.0%	73000	-108041.20995036303	304.3581361667231	591
0.0%	74000	-107831.91299909796	296.7347361641905	590
0.0%	75000	-107950.97592169419	292.04575618585966	590
0.0%	76000	-108051.41933451407	302.48607855528394	590
0.0%	77000	-107793.21462648851	302.11015023101993	590
0.0%	78000	-107738.57828531438	299.4773990738001	591
0.0%	79000	-107824.13232156378	303.88487771569805	591
0.0%	80000	-107852.35754511761	307.4326126030746	590
0.0%	81000	-107575.9162887996	306.8345378137902	590
0.0%	82000	-107780.75185478572	299.9653725419525	590
0.0%	83000	-107769.13419153122	301.07978534795393	590
0.0%	84000	-107878.42895708396	301.37117530314447	590
0.0%	85000	-107606.46651961096	304.9109939048713	590
0.0%	86000	-107210.04096842953	299.1311477016052	590
0.0%	87000	-107752.01207197993	305.5556797347374	590
0.0%	88000	-107708.44783461979	303.9021401585586	590
0.0%	89000	-107687.08799942862	307.89365165811785	590
0.0%	90000	-107946.71696010721	300.5282454809718	590
0.0%	91000	-107492.42277804622	296.2549957635641	589
0.0%	92000	-108358.25245046546	294.48123124113556	589
0.0%	93000	-108278.87774946261	299.7463548517357	589
0.0%	94000	-108596.90135988453	296.4290975991434	589
0.0%	95000	-108291.91333589912	300.8841158287391	589
0.0%	96000	-108143.7822510784	295.7768190629217	589
0.0%	97000	-108065.01890448085	303.448019444503	589
0.0%	98000	-107559.43142608297	304.56007218981875	589
0.0%	99000	-108125.2444489873	298.0262874419013	589
0.0%	100000	-107630.25640104711	294.63610601894567	589
0.0%	101000	-107925.04530199617	305.24504924798975	588
0.0%	102000	-107916.56177384895	299.1355757184308	588
0.0%	103000	-108259.47293083649	292.89641610924036	588
0.0%	104000	-108005.3896244294	297.8999210044807	588
0.0%	105000	-108042.9088865288	294.31226731108	588
0.0%	106000	-107919.94978611637	299.7143623159623	588
0.0%	107000	-108041.99930012901	293.9885727837428	588
0.0%	108000	-107613.08768549934	299.956962212844	587
0.0%	109000	-107882.04812861886	299.67942084753844	587
0.0%	110000	-107914.16988172429	299.442582351651	587
0.0%	111000	-107630.18621348753	292.0325398620347	587
0.0%	112000	-107977.60743722902	301.36217072557406	586
0.0%	113000	-107759.48271035962	296.8691247853981	586
0.0%	114000	-108361.76049967436	301.71292674110055	586
0.0%	115000	-107895.75434695021	300.40547152259967	586
0.0%	116000	-107801.45756269828	297.0233435760225	586
0.0%	117000	-108245.27547822683	292.92005234829065	586
0.0%	118000	-107923.50534143625	298.2642914536449	585
0.0%	119000	-108191.32510903338	293.8226721177447	585
0.0%	120000	-108032.81049503386	302.5788877718204	585
0.0%	121000	-107749.07149948482	302.93343282171236	585
0.0%	122000	-108011.74942589761	304.94808919954227	585
0.0%	123000	-107789.04077174934	302.09792428699757	585
0.0%	124000	-107463.74544405099	295.27981876362077	584
0.0%	125000	-107786.82292779093	297.36434580647887	584
0.0%	126000	-107791.39157078252	309.68186297841635	584
0.0%	127000	-107745.78992553544	299.75558763707136	584
0.0%	128000	-108003.91902915249	294.3271609906678	584
0.0%	129000	-107962.70222892147	298.0747910657639	584
0.0%	130000	-108210.21516580926	295.40849213765324	583
0.0%	131000	-108250.10350370221	301.2597814148459	583
0.0%	132000	-108028.94792335271	303.3757821836469	583
0.0%	133000	-107854.01008410659	300.05523487298143	583
0.0%	134000	-107376.06122192601	307.2466397033453	583
0.0%	135000	-107849.67671552766	295.6074189008623	582
0.0%	136000	-107700.73248927435	296.0315348222798	582
0.0%	137000	-107498.18701814441	298.2072355607727	582
0.0%	138000	-107954.7030176532	303.82814686799065	582
0.0%	139000	-107603.02234937088	309.98831615339503	582
0.0%	140000	-107571.4565995743	293.6050607279048	582
0.0%	141000	-107533.23644300178	303.801353152075	581
0.0%	142000	-108010.15024780785	302.1905413097566	581
0.0%	143000	-108066.04602242564	307.7501555279077	581
0.0%	144000	-107929.47581291408	296.53248483335926	581
0.0%	145000	-107834.00934303296	300.0997308656052	581
0.0%	146000	-108397.70516461041	300.58102187888795	580
0.0%	147000	-108016.43624738394	302.8219004231537	580
0.0%	148000	-107664.74832649762	297.17564758483786	580
0.0%	149000	-108271.96520475834	301.6438709728704	580
0.0%	150000	-107945.90574764437	301.53276568792626	580
0.0%	151000	-107657.65547856735	301.2816782959599	580
0.0%	152000	-107555.77866708837	300.68498064625766	579
0.0%	153000	-107941.67317718011	303.25551626197864	579
0.0%	154000	-108162.61359067471	295.6741420060273	579
0.0%	155000	-108253.98074711044	303.0060016400497	579
0.0%	156000	-108368.05795390694	297.29006357244896	579
0.0%	157000	-108323.08418596373	301.13774941261505	579
0.0%	158000	-108336.38888730458	294.6297051136609	578
0.0%	159000	-108462.49916630797	291.9319678523932	578
0.0%	160000	-107989.98391921399	299.5155732190939	578
0.0%	161000	-108086.6831145375	301.3809704369245	578
0.0%	162000	-108009.25877142348	301.69050179068705	578
0.0%	163000	-107576.07038587262	297.33057853931496	578
0.0%	164000	-108115.6503007072	299.597285741132	577
0.0%	165000	-108003.24851737707	304.2229467383871	577
0.0%	166000	-108178.74068100727	305.2467105251712	577
