#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1000	-108207.79068578244	295.86978007280356	0
0.0%	2000	-108299.58250325127	298.9606457729578	605
0.1%	3000	-108000.73940743599	304.03502276343215	609
0.1%	4000	-108204.42944613635	296.8084831968159	609
0.1%	5000	-108239.8962428458	298.72928807030587	608
0.1%	6000	-108310.1952737011	297.8372415845163	609
0.1%	7000	-108025.90555328969	301.215926115805	609
0.2%	8000	-108423.6953731014	300.38237492671556	610
0.2%	9000	-108030.1459698563	297.4326315112154	611
0.2%	10000	-107790.24471343216	306.19855636709264	610
0.2%	11000	-107546.91494609346	301.0885765376957	610
0.2%	12000	-108008.46566630085	306.392728770987	611
0.3%	13000	-108229.24758585892	292.8681299331505	612
0.3%	14000	-108690.0262635285	301.7954104661159	612
0.3%	15000	-107828.92401353642	304.5180328915139	611
0.3%	16000	-107947.19910060544	297.75364868383656	610
0.3%	17000	-108042.11104334006	296.4148630062552	610
0.4%	18000	-108381.81368755293	302.646418373905	609
0.4%	19000	-107789.86073897826	299.0497217727445	609
0.4%	20000	-108441.79739309335	297.1831163001912	609
0.4%	21000	-108046.75101635349	296.7607178484945	610
0.4%	22000	-108484.90059029358	302.2910145431847	610
0.5%	23000	-107812.50684175035	299.39964471276147	610
0.5%	24000	-108038.001830264	303.42156659301924	610
0.5%	25000	-108226.7708392907	302.4329473096372	609
0.5%	26000	-108251.26361475931	303.20724376559724	609
0.5%	27000	-107808.75703428872	295.16741534686486	609
0.6%	28000	-107689.56858389662	302.5332941050566	609
0.6%	29000	-108131.5013747348	298.024391848958	609
0.6%	30000	-108197.94080406381	291.7985026905001	609
0.6%	31000	-108600.29977961932	301.4044342927386	608
0.6%	32000	-108341.86301308195	294.3420412991322	608
0.7%	33000	-108340.48197776265	299.2615272924347	608
0.7%	34000	-108257.52042517858	300.70418433430933	608
0.7%	35000	-107754.60020987061	298.5885657464469	608
0.7%	36000	-107707.92956795986	298.55112103934255	608
0.7%	37000	-108570.1257684289	301.75871221928054	609
0.8%	38000	-108324.03386462014	299.9629096560528	608
0.8%	39000	-108169.73872587923	292.5878219624188	608
0.8%	40000	-108159.25449623005	303.70728366004454	608
0.8%	41000	-107850.54262767243	297.4824108314986	608
0.8%	42000	-108044.08937587775	297.95831531399483	608
0.9%	43000	-108353.04176950501	303.41102502918267	607
0.9%	44000	-107719.68969129934	301.0666553769963	607
0.9%	45000	-108364.32590566296	299.26537733129993	607
0.9%	46000	-107978.33419523272	299.0485732373449	607
0.9%	47000	-107999.18726677424	302.540273961529	607
1.0%	48000	-107819.32551225019	291.57072157604875	607
1.0%	49000	-107523.2151715036	302.74673284587254	606
1.0%	50000	-107725.22294733138	305.11639754111724	606
1.0%	51000	-108167.70285570435	292.81580213890646	606
1.0%	52000	-108472.35964391218	295.48306733222813	606
1.1%	53000	-107915.82221381948	304.5522714879879	606
1.1%	54000	-108019.3377129049	299.1468042563199	606
1.1%	55000	-107906.68472426967	305.7040868910698	606
1.1%	56000	-107882.84591505234	304.251930145093	606
1.1%	57000	-107946.00557569903	301.03075145099046	606
1.2%	58000	-107992.7435916136	306.59165481864176	606
1.2%	59000	-108625.62749347789	297.3284799734893	606
1.2%	60000	-108072.600372063	299.1811487257163	606
1.2%	61000	-107366.55231267703	300.4052741350609	606
1.2%	62000	-107901.68619810604	303.94950121868203	605
1.3%	63000	-107589.0800270366	302.8367698652566	605
1.3%	64000	-108180.87302591512	305.1454554661081	605
1.3%	65000	-107927.52543223975	303.30076525618654	605
1.3%	66000	-108373.49366395874	296.063263508758	605
1.3%	67000	-108076.35922752204	297.58282814237134	605
1.4%	68000	-107746.21766326856	299.29702845834396	605
1.4%	69000	-108234.62131467066	298.90288069573387	605
1.4%	70000	-107767.65652043233	300.0481699602197	605
1.4%	71000	-108154.22201022599	295.8618769681453	604
1.4%	72000	-108361.49267039541	306.28943097740193	604
1.5%	73000	-107851.95574668073	304.6098064447956	604
1.5%	74000	-108595.56630832795	306.63608002592247	604
1.5%	75000	-108319.08010894619	305.20109770028375	604
1.5%	76000	-107799.20627116063	302.6911127959128	604
