#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1000	-108227.78493743367	302.9365756982783	0
0.0%	2000	-107731.06305232109	304.83917822168513	585
0.1%	3000	-108122.22052983101	298.8228356636599	587
0.1%	4000	-108112.61589753814	294.3518082396671	587
0.1%	5000	-107507.41729481099	304.1789350783012	588
0.1%	6000	-108129.95127409557	308.7405593239635	589
0.1%	7000	-107367.74865781935	303.31807553296073	589
0.2%	8000	-108311.38013848872	303.44918361092965	590
0.2%	9000	-108084.44016819098	297.5052995881291	590
0.2%	10000	-108280.88940621517	299.09568984959753	590
0.2%	11000	-108125.09936467046	299.2201208521925	590
0.2%	12000	-108459.31501005101	301.06062023469684	589
0.3%	13000	-108539.70329029718	304.7000652632584	588
0.3%	14000	-108375.58301334968	305.47502050343587	588
0.3%	15000	-108300.97829539282	304.6067291614108	588
0.3%	16000	-108055.96110509173	304.2611910202376	589
0.3%	17000	-108010.99704785482	299.6943845524498	589
0.4%	18000	-108097.44647055888	291.85545955356923	589
0.4%	19000	-107848.6914171346	301.8747363219746	589
0.4%	20000	-107859.72445940715	302.76403316919664	589
0.4%	21000	-108080.56600038172	305.27971278320115	588
0.4%	22000	-107670.38996382989	299.6037921781737	588
0.5%	23000	-107752.0490998081	296.7450593278414	587
0.5%	24000	-107755.97229963588	300.23810789966547	587
0.5%	25000	-107789.9791036495	296.8833002900672	587
0.5%	26000	-108469.04208150366	303.28701193638653	587
0.5%	27000	-108380.02081395779	300.64523252276524	587
0.6%	28000	-108057.0678490363	300.7025018839412	587
0.6%	29000	-107778.3521474395	298.9345781213328	587
0.6%	30000	-107401.14482222358	305.469032378985	587
0.6%	31000	-107812.24583337666	305.0022873989186	586
0.6%	32000	-108115.2908533127	298.69111830362607	585
0.7%	33000	-108261.39213742036	298.0830940963877	585
0.7%	34000	-108331.00107485522	304.30420588891275	585
0.7%	35000	-108036.31668629684	303.06850479503737	584
0.7%	36000	-107537.48896623473	301.9571008863185	584
0.7%	37000	-107638.79079133784	304.8717365607299	584
0.8%	38000	-108025.61432323419	297.6791215999477	584
0.8%	39000	-107582.57390580908	297.28199299643285	584
0.8%	40000	-108120.85950416233	298.8854620003651	583
0.8%	41000	-108148.60858838633	304.0081918426627	583
0.8%	42000	-107949.18848292716	303.1692626212778	583
0.9%	43000	-107797.8125106399	297.0964872934455	582
0.9%	44000	-108364.6166571579	298.3715344040635	582
0.9%	45000	-108471.93577730795	292.9148373642443	581
0.9%	46000	-108136.08499506954	300.8899803783001	581
0.9%	47000	-107741.13082048856	299.42315526957555	580
1.0%	48000	-107786.97028360353	297.57844838397364	580
1.0%	49000	-108116.5029474455	303.122030050597	579
1.0%	50000	-108284.82813473907	297.5436735479597	579
1.0%	51000	-107933.78588565043	304.9077446414986	579
1.0%	52000	-108235.78654424194	299.7656365908639	578
1.1%	53000	-108047.24216221785	294.3910581512138	578
1.1%	54000	-107663.48326897575	295.7509498009914	577
1.1%	55000	-108298.2688867324	298.2294882865165	577
1.1%	56000	-108390.26535062282	300.60762118300755	577
1.1%	57000	-108227.01079424354	299.167072491797	576
1.2%	58000	-107912.52601318876	298.37317528805755	576
1.2%	59000	-107534.81133859372	303.1000847034306	576
1.2%	60000	-108046.6417700625	304.37180244501917	576
1.2%	61000	-107924.76210806915	302.9210466580566	575
1.2%	62000	-107645.0955790556	293.7702772338727	575
1.3%	63000	-107907.88139076554	302.6690145850464	575
1.3%	64000	-108519.24866399541	307.2265955629996	574
1.3%	65000	-107805.63027705904	299.6055832217416	574
1.3%	66000	-108043.80666749948	305.11143673749524	574
1.3%	67000	-108431.8939747226	301.9300486593734	574
1.4%	68000	-108196.58869158477	295.5515348771076	573
1.4%	69000	-108097.1119905971	299.4856824548425	573
1.4%	70000	-108004.8806429219	301.01322164821795	573
1.4%	71000	-107966.62770319893	295.2101142864145	572
1.4%	72000	-108429.71144308522	300.3906393543095	572
1.5%	73000	-108154.22561982763	305.4732997276755	572
1.5%	74000	-108176.13115082239	295.02901096283125	571
1.5%	75000	-107998.59058898524	298.4195697379324	571
1.5%	76000	-108393.76594885881	303.9637524409234	571
1.5%	77000	-108211.23480284633	299.5512430884478	571
1.6%	78000	-107744.77393503697	298.1640680888065	571
1.6%	79000	-108388.4512287043	301.5633831174661	570
1.6%	80000	-107707.77266935771	304.13427414193376	570
1.6%	81000	-107524.75029638619	295.298564606338	570
1.6%	82000	-108039.12932727393	296.59100289035354	570
1.7%	83000	-108293.54129901994	300.5433885343051	569
1.7%	84000	-107843.0610982792	296.62848773002753	569
1.7%	85000	-107473.60401791846	303.9760853219515	569
1.7%	86000	-107112.90760707529	292.70261754259235	569
1.7%	87000	-107679.57435432076	301.72170734877784	569
1.8%	88000	-108023.99840630055	301.4178556185252	569
1.8%	89000	-107625.63946319837	297.85655644410076	569
1.8%	90000	-107826.93110763119	296.4480878085915	568
1.8%	91000	-107970.23741637543	297.50220408050257	568
1.8%	92000	-108172.69921077997	299.15845609692116	568
1.9%	93000	-108502.205120584	302.21355724849167	568
1.9%	94000	-108156.4000107923	295.74351788833036	568
1.9%	95000	-108086.12062455877	309.1200021808863	567
1.9%	96000	-107544.60872225417	295.16445405440595	567
1.9%	97000	-108520.8275503742	303.5408665863588	567
2.0%	98000	-107598.79978198465	303.22681585124724	567
2.0%	99000	-108683.06134164426	301.74774540006973	566
2.0%	100000	-108186.01470646099	299.88886928765845	566
2.0%	101000	-108341.3577147983	301.1899341709143	566
2.0%	102000	-108498.41246428248	296.22772562421557	566
2.1%	103000	-108314.71627188963	310.9221672584614	566
2.1%	104000	-108030.81084178691	306.0617956448495	565
2.1%	105000	-108073.06800789433	298.66692890491436	565
2.1%	106000	-107666.47077757865	301.81659629634163	565
2.1%	107000	-108138.47065376444	308.44287946424674	565
2.2%	108000	-107916.68455999228	302.4254645719398	564
2.2%	109000	-108229.5609235887	301.24130788489475	564
2.2%	110000	-108083.4722796653	296.169669305967	564
2.2%	111000	-108262.4257367407	294.82814519840736	563
2.2%	112000	-108615.59851951781	296.7403588635678	563
2.3%	113000	-108314.7660560552	301.4580873478731	563
2.3%	114000	-108758.55439791223	298.3563219643217	563
2.3%	115000	-108208.02290231897	302.27868246893274	562
2.3%	116000	-108296.03480934026	298.1537390966761	562
2.3%	117000	-108065.67041692836	296.87981377330436	562
2.4%	118000	-108677.29457558668	296.8019630701213	562
2.4%	119000	-108431.9182231361	299.16281777183434	561
