#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1000	-108296.5456791285	300.6859978066713	0
0.0%	2000	-107321.1531051423	296.80665915553607	590
0.1%	3000	-107751.54801475303	303.48431021972885	598
0.1%	4000	-107813.41668647178	299.1159580222965	600
0.1%	5000	-107907.13714422844	300.1639148453594	604
0.1%	6000	-108220.90837188717	305.90339472750577	606
0.1%	7000	-107368.46311765327	292.27279960906895	605
0.2%	8000	-108161.71217106702	304.3858454778646	606
0.2%	9000	-107576.28779266193	302.29791176698217	606
0.2%	10000	-107829.33127853158	299.5597365305481	606
0.2%	11000	-107732.74031067034	301.8291427867178	605
0.2%	12000	-108365.05611286662	300.68389872357164	605
0.3%	13000	-108461.50287453295	302.51133931372163	605
0.3%	14000	-107738.94572030427	301.4341210873244	606
0.3%	15000	-107783.50005527912	299.6843344495943	605
0.3%	16000	-107316.88063410926	301.80173446114003	605
0.3%	17000	-108497.4854585859	299.3554876702902	605
0.4%	18000	-107874.817267403	299.6450767459597	605
0.4%	19000	-108238.12957879575	300.2777802761677	606
0.4%	20000	-107791.13203786523	301.22448058033257	605
0.4%	21000	-107955.94281067117	297.4645564528675	604
0.4%	22000	-108141.99880953529	293.88860922265536	604
0.5%	23000	-108280.63426159648	301.707972365727	603
0.5%	24000	-108227.07030802174	298.10842485017224	602
0.5%	25000	-108049.65378733748	296.3987944233428	603
0.5%	26000	-108533.9825062817	296.8639829920232	603
0.5%	27000	-108141.03142313659	296.7866634001105	603
0.6%	28000	-107801.91327529866	298.9149796267209	602
0.6%	29000	-107913.63560638693	299.6763949159664	602
0.6%	30000	-107602.87088658172	303.2981273918413	601
0.6%	31000	-107643.19882709719	303.462850043543	601
0.6%	32000	-107673.65370427468	303.64100552914454	601
0.7%	33000	-107741.0196828281	299.2736391148188	600
0.7%	34000	-107680.14562018006	301.93135605598565	600
0.7%	35000	-107666.74093137751	304.24944948501707	600
0.7%	36000	-108100.16168018873	301.8641205756681	600
0.7%	37000	-107780.30395590165	299.94191811340346	599
0.8%	38000	-108328.05372895021	298.6150873532123	599
0.8%	39000	-108286.94984085602	301.54582832166193	599
0.8%	40000	-108056.9287174095	298.6943097452427	599
0.8%	41000	-107958.15131979785	294.4429096069947	599
0.8%	42000	-108158.69212819566	302.8264891043917	598
0.9%	43000	-107859.00226954906	297.75794494372144	599
0.9%	44000	-107769.81287727831	298.8971550197461	598
0.9%	45000	-107705.1016270651	299.1760607937396	597
0.9%	46000	-107559.00120863761	302.7549419866234	597
0.9%	47000	-107599.62343010493	298.998791306649	597
1.0%	48000	-107637.10521190148	302.1683964303824	596
1.0%	49000	-108143.01781233423	301.17278512686806	596
1.0%	50000	-107662.83300889586	301.18988587352226	596
1.0%	51000	-107525.82076434931	299.313554532218	595
1.0%	52000	-107873.42391220247	303.5755289463786	594
1.1%	53000	-108108.38636899414	303.65059970660803	594
1.1%	54000	-107702.0038503292	301.35010038027235	593
1.1%	55000	-108007.01338650403	299.63053859037325	593
1.1%	56000	-107913.62377732317	302.7328520186708	592
1.1%	57000	-108119.00022046524	291.4537487931135	592
1.2%	58000	-107781.41118620662	297.7921368785555	592
1.2%	59000	-107745.74053784693	302.31364273894434	591
1.2%	60000	-107927.69589196076	301.0159587780908	591
1.2%	61000	-108315.58143884456	302.7834237310549	591
