#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1000	-108188.03635094198	300.4054913247618	0
0.0%	2000	-107922.37877567671	296.8921301215905	619
0.1%	3000	-108111.3225391116	302.61567829893625	614
0.1%	4000	-107837.35391219286	303.46347910643976	612
0.1%	5000	-107747.90072876727	298.5351226216843	613
0.1%	6000	-107973.13039300218	300.02546135876383	614
0.1%	7000	-108108.17090612813	299.2823396827555	613
0.2%	8000	-108268.69782756409	298.8650470384977	615
0.2%	9000	-108471.36310197576	301.94942647302815	613
0.2%	10000	-107739.22825797484	297.7382792415649	610
0.2%	11000	-107697.87247682246	305.1138961947638	610
0.2%	12000	-108128.12439163192	304.53866602562846	611
0.3%	13000	-107387.84322405234	298.915206451151	611
0.3%	14000	-108014.90655282978	299.68222974751126	610
0.3%	15000	-107889.4200018167	303.39275778698214	611
0.3%	16000	-107628.32095046574	297.06799325121113	612
0.3%	17000	-107951.83057806548	300.6917332920693	612
0.4%	18000	-107804.68548005517	299.4173088905668	613
0.4%	19000	-107577.88641249691	308.6318293246338	613
0.4%	20000	-107632.38301745267	298.6086837747805	613
0.4%	21000	-108133.60363917286	301.0061544363106	612
0.4%	22000	-107679.33103872696	296.87388641800874	612
0.5%	23000	-108202.12879227335	304.78719119291304	612
0.5%	24000	-108032.98517164239	308.32663630242126	612
0.5%	25000	-107943.86572565068	301.9112927298754	611
0.5%	26000	-107273.30364298518	303.5609279724403	611
0.5%	27000	-107637.4036911386	298.1316658484753	611
0.6%	28000	-108025.97016150993	294.1188188848178	611
0.6%	29000	-107754.74509460409	299.8621932273364	611
0.6%	30000	-107790.47098462796	293.7326234954651	611
0.6%	31000	-107632.17838640278	305.246804721324	610
0.6%	32000	-107564.04470119439	296.71878751720817	610
0.7%	33000	-108046.9139997582	304.4173314109722	611
0.7%	34000	-107297.38832503464	299.50690430580795	611
0.7%	35000	-108031.64925871999	296.6450886706512	610
0.7%	36000	-107626.65167393559	303.80321645877467	611
0.7%	37000	-107418.34717684751	306.1802856388106	611
0.8%	38000	-107491.84705025516	298.1976869164748	611
0.8%	39000	-107984.57919783983	298.70448534831047	611
0.8%	40000	-107430.58279048232	297.63927783827813	611
0.8%	41000	-107304.71929690242	306.01688189816235	610
0.8%	42000	-108044.62708656723	301.27958376383845	610
0.9%	43000	-107713.12737296452	291.542761815282	610
0.9%	44000	-108016.45808399189	304.27727634377356	610
0.9%	45000	-107142.63322305353	297.70467951323883	610
0.9%	46000	-107892.40933395922	308.4406600244054	610
0.9%	47000	-108014.70296812826	302.15723491372245	610
1.0%	48000	-108335.59199257637	298.318068540307	609
1.0%	49000	-107452.3902902184	295.83589870597297	609
1.0%	50000	-107467.85941608506	300.58317443794783	609
1.0%	51000	-107737.90199164464	308.7610776446634	608
1.0%	52000	-107954.35142193735	302.90696256402305	608
1.1%	53000	-107274.53700026684	295.27372834188253	608
1.1%	54000	-107982.43676520907	299.3047768053842	608
1.1%	55000	-108043.42309154058	297.81969921435126	607
1.1%	56000	-108224.98952767276	292.9112488215626	607
1.1%	57000	-107360.29379298328	294.8695494971666	607
1.2%	58000	-107953.25828917092	300.57879337286437	606
1.2%	59000	-108069.435673428	303.023488539062	606
1.2%	60000	-107679.49028299446	294.425069480796	606
1.2%	61000	-108074.48156463169	299.25955148305843	605
1.2%	62000	-107741.52877074177	300.3257370938525	605
1.3%	63000	-107543.24020670727	299.84031231129177	605
1.3%	64000	-107762.4422226143	299.44781105090345	605
1.3%	65000	-107632.97765628994	295.3997868226379	604
1.3%	66000	-108025.07250225847	294.78940363709904	604
1.3%	67000	-107982.89052669355	302.4841960813511	603
1.4%	68000	-108001.30856512953	297.3445174083847	603
1.4%	69000	-108096.29153274605	300.93689889735793	602
1.4%	70000	-108423.17402796261	299.2376770804852	602
1.4%	71000	-107779.62019034335	301.1445891547044	602
1.4%	72000	-107951.48574593593	293.83311876360733	602
1.5%	73000	-107748.89130108827	294.0099474644936	601
1.5%	74000	-108175.51487096166	299.2619131338868	600
1.5%	75000	-107758.71852815966	303.50642318862793	600
1.5%	76000	-107534.27449819492	299.32171749673546	600
1.5%	77000	-108205.79712496675	302.6670731777524	599
1.6%	78000	-108092.23383933213	299.91706274076154	599
1.6%	79000	-108015.83014349593	297.3771131340749	599
1.6%	80000	-107945.15559965977	300.58674163668286	599
1.6%	81000	-107710.8353668414	304.57374602324376	598
1.6%	82000	-107653.07901829807	303.9988305571453	598
1.7%	83000	-108038.18294469267	295.4838059006652	598
1.7%	84000	-107577.52935724286	293.62695937015167	597
1.7%	85000	-108059.17052651779	302.480490478632	597
1.7%	86000	-108024.05303974357	296.69840721498633	596
1.7%	87000	-107530.79719531094	297.4544556728021	596
