#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1000	-108106.33982753754	297.16536658924144	0
0.0%	2000	-107762.61689636856	299.6579930421492	660
0.1%	3000	-107698.38864452462	293.36399299610497	661
0.1%	4000	-108009.66980783176	303.8426767904239	662
0.1%	5000	-107616.10185536603	303.02275568587237	657
0.1%	6000	-107480.37038538815	294.3688732665879	659
0.1%	7000	-107491.10103978217	297.49178708620735	659
0.2%	8000	-108170.0431683443	305.06715997697034	660
0.2%	9000	-107785.29314858397	301.34785210036966	661
0.2%	10000	-107549.57467645919	293.3814422612784	662
0.2%	11000	-107876.8235210001	297.91535829823505	662
0.2%	12000	-107878.8405398035	298.0947194832578	662
0.3%	13000	-107946.06908459356	305.46458164383	662
0.3%	14000	-108076.76408910844	303.04805648464145	662
0.3%	15000	-107962.23841045098	294.53590711316417	662
0.3%	16000	-107982.4669810282	303.94599014189896	662
0.3%	17000	-107948.9745963104	293.4541482807651	660
0.4%	18000	-107963.70941130375	297.50039422106175	661
0.4%	19000	-107997.76002614037	300.99047680805216	661
0.4%	20000	-107956.61288845167	302.9132824176834	661
0.4%	21000	-108213.41096522193	305.057462362373	661
0.4%	22000	-107341.93476431258	301.7950970999178	660
0.5%	23000	-107634.99746419885	297.99715311085725	660
0.5%	24000	-107765.64682976552	302.48870528230265	659
0.5%	25000	-106947.00458636344	303.9224109525066	660
0.5%	26000	-107615.87510126457	306.07511538081275	660
0.5%	27000	-108320.03331608279	299.20671971776505	660
0.6%	28000	-107724.25992412679	299.76589478746473	660
0.6%	29000	-107292.60945568234	303.2643310268703	661
0.6%	30000	-107834.04572941712	299.9892020140769	661
0.6%	31000	-106919.69633478136	299.449459729508	661
0.6%	32000	-107879.58194604376	302.2190588077531	661
0.7%	33000	-107395.5212071233	302.5761262397164	661
0.7%	34000	-107869.64434867282	297.1358206421116	662
0.7%	35000	-107778.56183227687	302.7159424594011	662
0.7%	36000	-107800.61398082715	302.0936588757193	662
0.7%	37000	-107134.7347461544	295.38912361902675	662
0.8%	38000	-107715.29707453097	308.6874625160495	661
0.8%	39000	-107702.55126639572	303.17212211313444	661
0.8%	40000	-107798.20853482047	303.04978244236503	661
0.8%	41000	-107872.51437069639	297.8043971417162	661
0.8%	42000	-107783.18082193914	304.78828318599454	661
0.9%	43000	-107190.93495736015	306.35614958527736	661
0.9%	44000	-107329.01391204703	305.73376698434004	661
0.9%	45000	-107632.13122855802	297.91525192347154	661
0.9%	46000	-107620.36836867267	297.9839536981537	661
0.9%	47000	-108039.78615329135	299.11000001855575	661
1.0%	48000	-107833.95117132436	296.1186450241569	661
1.0%	49000	-107943.39132759254	302.85107226648836	661
1.0%	50000	-108484.81994064432	307.2523200327766	661
1.0%	51000	-107857.65019553108	300.78445908324767	661
1.0%	52000	-108048.61177858617	298.6889408342819	661
1.1%	53000	-107615.38498188904	298.0966415165193	661
1.1%	54000	-107781.06479486427	298.4234318375486	661
1.1%	55000	-107775.265964414	304.6304732727848	661
1.1%	56000	-107993.55074992077	300.77797175838435	661
1.1%	57000	-107493.82371441182	300.289119323751	661
1.2%	58000	-108132.89608457405	300.8761257307685	661
1.2%	59000	-108186.90762867196	303.7939591404511	660
1.2%	60000	-107878.20374385477	300.1575403626168	660
1.2%	61000	-108040.76648433972	295.43501995506915	660
1.2%	62000	-108151.39206277765	300.3639044649281	660
1.3%	63000	-107783.74529789714	300.3566641968494	660
1.3%	64000	-108102.66088660317	304.60719728102777	660
1.3%	65000	-107529.04797229893	293.4707361330213	660
1.3%	66000	-107810.47507927264	301.3075028841415	660
1.3%	67000	-107465.3916991849	290.9270346708013	660
1.4%	68000	-108346.40708984388	302.29306116386334	660
1.4%	69000	-108172.892116589	295.311196708333	660
1.4%	70000	-107796.7722599383	297.8477027324916	660
1.4%	71000	-107555.38826957392	295.368541827277	660
1.4%	72000	-107785.54566853167	296.3946070765001	660
1.5%	73000	-107495.95044663292	302.32954997274413	660
1.5%	74000	-108073.41841668542	303.54280094485244	660
1.5%	75000	-108060.44083534577	307.1686918610881	660
1.5%	76000	-107557.75465768599	302.15137567703624	660
1.5%	77000	-107437.69961162307	293.80810801710015	660
1.6%	78000	-107639.70215856936	297.1278446615838	660
1.6%	79000	-107994.37295223214	300.41399938464497	660
1.6%	80000	-107217.61813059938	291.2141705460097	660
1.6%	81000	-107916.9398845972	300.8490021595077	660
1.6%	82000	-108378.65787179582	304.270824929613	660
1.7%	83000	-108170.57505019289	301.3213901455209	660
1.7%	84000	-108263.50806285371	301.02652095099563	660
1.7%	85000	-107383.40643351618	298.23215319716303	660
1.7%	86000	-107631.08842707076	306.5599981857368	659
1.7%	87000	-107131.42636554176	302.40657771910566	659
1.8%	88000	-107795.70271799783	303.02977156861266	659
1.8%	89000	-107812.33851619856	294.54387952291285	659
1.8%	90000	-107910.41061936761	300.629935627608	659
1.8%	91000	-107907.31411254592	298.8731668524085	659
1.8%	92000	-107792.38954167278	296.7880326122907	659
1.9%	93000	-107511.10894931271	302.223541647549	659
1.9%	94000	-107835.04001435498	304.108420042738	659
1.9%	95000	-108239.25045963959	299.23233070846896	658
1.9%	96000	-107911.99170733732	298.77406851112136	659
